Zip Code,Total,City,County
77642,13554,Port Arthur,Jefferson
77084,12770,Houston - Addicks/Bear Creek Area,Harris
78382,11333,Rockport Area,Aransas
77539,11328,Dickinson,Galveston
77901,10373,Victoria,Victoria
77662,9782,Vidor,Orange
77630,9586,Orange,Orange
77089,9090,Southbelt/Ellington Area,Harris
77044,8354,Houston - Sheldon/Lake Houston Area,Harris
77705,8269,Beaumont,Jefferson
77090,8141,Houston/Cypress Area,Harris
77449,7951,Katy,Harris
77459,7885,Missouri City/Sienna Plantation,Fort Bend
77632,7702,Orange/Mauriceville,Orange
77521,7516,Baytown/Mont Belvieu,Harris
77088,7468,Houston - Acres Homes/Inwood Pines,Harris
77063,7390,Houston - Briarforest/Energy Corridor,Harris
77640,7345,Port Arthur,Jefferson
78415,7198,Corpus Christi,Nueces
77016,6960,Houston - Trinity Gardens/East Little York,Harris
